billing_company,payer_id,name,abbreviation,file_method,address,apt_suite,country,zip,city,state,phone,mobile,fax,email,contact_name
MCC Medical Claims Consultants LLC,60054,Aetna,AE,B - Paper & Electronic,PO Box 982960,,US,79998,El Paso,TX,800-441-5501,,,,
MCC Medical Claims Consultants LLC,ASFL1,Align Senior Care,ASC,B - Paper & Electronic,PO Box 21593,,US,55121,Eagan,MN,844-788-3935,,,,
MCC Medical Claims Consultants LLC,77003,AmeriHealth Caritas,AC,B - Paper & Electronic,PO Box 7367,,US,40743,London,KY ,800-617-5727,,,,
MCC Medical Claims Consultants LLC,59274,"Avmed, INC",AI,B - Paper & Electronic,PO Box 569008 ,,US,33256,Miami,FL,800 - 452-8633,,,,
MCC Medical Claims Consultants LLC,BRGHT,Bright Healthcare,BH,B - Paper & Electronic,PO Box 16275,,US,19612,Reading,PA,866-239-7191,,,,
MCC Medical Claims Consultants LLC,BHOVO,Carelon Behavioral Health,CBH,B - Paper & Electronic,PO Box 1870,,US,11802,Hicksville,NY ,800-221-5487,,,,
MCC Medical Claims Consultants LLC,42140,Centurion Health,CH,B - Paper & Electronic,PO Box 4090 ,,US,63640,Farmington,MO ,844-243-0795,,,,
MCC Medical Claims Consultants LLC,62308,Cigna Health Plan,CHP,B - Paper & Electronic,PO Box 188022,,US,37422,Chattanooga,TN ,800-244-6224,,,,
MCC Medical Claims Consultants LLC,59065,Community Care Plan,CCP,B - Paper & Electronic,PO Box 841309,,US,33084,Pembroke Pines,FL ,866-899-4828,,,,
MCC Medical Claims Consultants LLC,DEVOT,Devoted Health,DH,B - Paper & Electronic,PO Box 211524,,US,55121,Eagan,MN ,877-762-3515,,,,
MCC Medical Claims Consultants LLC,DRHCP,Doctor's Health Plan,DHP,B - Paper & Electronic,Box 132 - 1825 Ponce De Leon Blvd,,US,33134,Coral Gables,FL,305-422-9300,,,,
MCC Medical Claims Consultants LLC,11315,Fidelis Care,FC,B - Paper & Electronic,PO Box 806 ,,US,14226,Amherst,NY,888-343-3547,,,,
MCC Medical Claims Consultants LLC,FLCCR,Florida Community Care,FCC,B - Paper & Electronic,PO Box 211322,,US,55121,Eagan,MN,833-322-7526,,,,
MCC Medical Claims Consultants LLC,FLCPC,Florida Complete Care,FCC,B - Paper & Electronic,PO Box 21688,,US,55121,Eagan,MN,833-322-7526,,,,
MCC Medical Claims Consultants LLC,59322,Florida Healthcare Plan,FHP,B - Paper & Electronic,PO Box 10348,,US,32120,Daytona Beach,FL,800-352-9824,,,,
MCC Medical Claims Consultants LLC,FLPAC,Florida Pace Centers,FPC,B - Paper & Electronic,5200 NE 2nd Ave,,US,33137,Miami,FL,305-762-1385,,,,
MCC Medical Claims Consultants LLC,41212,Freedom Health,FH,B - Paper & Electronic,PO Box 151348 ,,US,33684,Tampa,FL,800-401-2740,,,,
MCC Medical Claims Consultants LLC,62324,Freedom Life Insurance Company,FLIC,B - Paper & Electronic,PO Box 1628,,US,75001,Addison,TX ,800-387-9027,,,,
MCC Medical Claims Consultants LLC,HESUN ,Healthsun,HE,B - Paper & Electronic,PO Box 211154,,US,55121,Eagan,55121,877-207-4900,,,,
MCC Medical Claims Consultants LLC,61101,Humana,HU,B - Paper & Electronic,PO Box 14601 ,,US,40512,Lexington,KY,800-477-6931,,,,
MCC Medical Claims Consultants LLC,TREST,Humana Military,HM,B - Paper & Electronic,PO Box 7891,,US,53707,Madison,WI,800-4144-5445,,,,
MCC Medical Claims Consultants LLC,VAICE,Ice Health Services Corporation,IHSC,B - Paper & Electronic,PO Box 149345,,US,78714,Austin,78714,800-479-0523,,,,
MCC Medical Claims Consultants LLC,A3565,Leon Health Plans,LHP,B - Paper & Electronic,PO Box 61265 ,,US,85082,Phoenix,AZ,833-373-5366,,,,
MCC Medical Claims Consultants LLC,37316,Leon Medical Center Health Plan,LMCHP,B - Paper & Electronic,PO Box 669441,,US,33166,Miami,FL,305-631-5343,,,,
MCC Medical Claims Consultants LLC,LFL01 ,Longevity Health Plan,LHP,B - Paper & Electronic,PO Box 16170,,US,79490,Lubbock,TX,866-224-9499 ,,,,
MCC Medical Claims Consultants LLC,01260,Magellan Health,MH,B - Paper & Electronic,PO Box 1916,,US,63043,Maryland Heights,MO,800-424-1693,,,,
MCC Medical Claims Consultants LLC,77027,Medicaid,ME,B - Paper & Electronic,PO Box 7072,,US,32314,Tallahasse,FL,800-239-7560,,,,
MCC Medical Claims Consultants LLC,51062,Molina Healthcare,MH,B - Paper & Electronic,PO Box 22812 ,,US,90801,Long Beach,CA,866-472-4585,,,,
MCC Medical Claims Consultants LLC,58182,Naphcare,NA,B - Paper & Electronic,2090 Columbiana Road Ste 4000 ,,US,35216,Birmingham,AL,800-834-2420,,,,
MCC Medical Claims Consultants LLC,53011,National Assocation of Letter Carriers,NAOLC,B - Paper & Electronic,PO Box 9668,,US,85252,Scottsdale,AZ,888-636-6252,,,,
MCC Medical Claims Consultants LLC,20133,Optimum Healthcare INC,OHI,B - Paper & Electronic,PO Box 151257,,US,33684,Tampa,FL,866-245-5360,,,,
MCC Medical Claims Consultants LLC,OSCAR ,Oscar Health,OH,B - Paper & Electronic,PO BOX 52146,,US,85072,Phoenix,AZ,855-672-2755,,,,
MCC Medical Claims Consultants LLC,95411,Positive Healthcare,PH,B - Paper & Electronic,PO Box 472377,,US,80047,Aurora,CO,888-662-0626,,,,
MCC Medical Claims Consultants LLC,CLEAR,Simply Healthcare,SH,B - Paper & Electronic,PO Box 61010,,US,23466,Virginia Beach,VA,844-406-2398,,,,
MCC Medical Claims Consultants LLC,73581,Solis Health Plans,SHP,B - Paper & Electronic,PO Box 211486,,US,55121,Eagan,MN,844-447-6547,,,,
MCC Medical Claims Consultants LLC,68069,Sunshine Health,SH,B - Paper & Electronic,PO Box 5010,,US,63640,Farmington,MO,877-687-1169,,,,
MCC Medical Claims Consultants LLC,TLINS,Transamerica Life Insurance Company,TLIC,B - Paper & Electronic,PO Box 310 ,,US,76099,Grapevine,TX,800-476-4491,,,,
MCC Medical Claims Consultants LLC,170558746,Tufts Health Plans,THP,B - Paper & Electronic,PO Box 9115,,US,60068,Park Ridge,IL,888-257-1985,,,,
MCC Medical Claims Consultants LLC,UHP01,UHP Management,UM,B - Paper & Electronic,PO Box 190394,,US,11219,Brooklyn,NY,800-900-7475,,,,
MCC Medical Claims Consultants LLC,92916,United American Insurance Company,UAIC,B - Paper & Electronic,PO Box 8080,,US,75070,Mckinney,TX ,972-529-5085,,,,
MCC Medical Claims Consultants LLC,81400,United Healthcare,UH,B - Paper & Electronic,PO Box 31375,,US,84131,Salt Lake City,UT,877-842-3210,,,,
MCC Medical Claims Consultants LLC,00590,Blue Cross Blue Shield,BCBS,B - Paper & Electronic,PO Box 1798,,US,32231,Jacksonville,FL,800-727-2227,,,,
MCC Medical Claims Consultants LLC,31114,Caresource,CA,B - Paper & Electronic,PO Box 8730,,US,45401,Dayton,OH,800-488-0134,,,,
MCC Medical Claims Consultants LLC,84146,ChampVA ,CH,B - Paper & Electronic,PO Box 469064,,US,80246,Denver,CO,800-733-8387,,,,
MCC Medical Claims Consultants LLC,00661,Healthy Blue,HB,B - Paper & Electronic,PO Box 61010,,US,23466,Virginia Beach,VA,844-521-6942,,,,
MCC Medical Claims Consultants LLC,29076,Medical Mutual,MM,B - Paper & Electronic,PO Box 6018,,US,44101,Clevland,OH,800-362-1279,,,,
MCC Medical Claims Consultants LLC,09101,Medicare,ME,B - Paper & Electronic,532 Riverside Avenue,,,32231,Jacksonville,FL,888-664-4112,,,,
MCC Medical Claims Consultants LLC,VACCN,Optum VA,OV,B - Paper & Electronic,PO Box 202117,,US,29502,Florence,SC,844-839-6108,,,,
MCC Medical Claims Consultants LLC,12115,Veterans Administration,VA,B - Paper & Electronic,PO Box 30780,,US,33630,Tampa,FL,877-881-7618,,,,
MCC Medical Claims Consultants LLC,14163,Wellcare,WE,B - Paper & Electronic,PO Box 31372,,US,33631,Tampa,FL,800-278-0656,,,,
